user_id,movie_id,rating
338,517,5
290,234,3
458,762,3
524,582,3
530,176,3
332,748,4
747,989,3
533,1048,3
642,28,5
883,312,3
474,655,5
180,53,5
871,56,5
344,50,5
922,451,4
535,950,3
311,747,3
650,121,3
532,203,5
181,743,1
768,744,3
896,135,3
363,239,3
854,922,5
561,655,3
886,43,2
389,15,2
458,484,5
406,492,4
537,550,2
663,187,5
399,545,2
525,100,4
913,310,3
758,98,5
940,56,5
500,286,1
911,313,2
880,1296,3
495,196,3
922,191,3
514,272,4
758,346,2
537,855,3
790,472,2
823,459,4
28,5,3
271,1117,3
630,98,5
178,161,5
886,506,4
641,511,5
798,707,2
579,7,3
870,244,3
844,181,5
514,168,4
805,28,3
561,849,2
793,591,4
580,597,1
758,171,5
658,735,3
900,121,2
655,18,3
889,729,3
620,28,4
762,515,5
870,23,4
307,472,3
798,769,2
919,7,3
640,91,4
92,729,4
913,475,4
922,290,4
524,39,5
480,527,4
85,316,3
741,742,4
900,1028,2
733,126,2
942,269,2
833,33,2
780,183,2
847,71,4
84,282,4
880,269,4
724,286,1
514,22,4
329,50,4
334,209,3
551,100,4
727,550,4
764,282,4
756,402,4
721,239,4
269,639,4
654,638,4
676,302,5
795,705,4
831,317,4
921,173,5
219,906,4
593,51,3
840,582,5
721,937,3
689,150,4
749,812,3
883,405,3
45,742,4
487,559,3
888,792,5
804,367,3
236,135,2
313,651,3
821,274,5
649,298,4
878,100,2
682,243,1
922,151,5
712,486,4
731,611,3
871,896,3
747,524,5
435,268,5
630,69,3
621,577,3
889,202,3
243,631,4
868,567,1
682,148,3
348,117,4
373,367,3
843,590,3
671,22,4
608,195,1
882,195,5
782,259,1
712,88,4
880,276,4
806,588,4
85,428,5
514,88,4
122,57,2
666,121,3
705,193,3
823,64,5
919,15,5
429,196,4
222,412,1
158,107,3
916,593,4
665,483,4
385,1070,5
589,333,5
919,475,3
523,14,5
418,1313,2
624,313,5
753,286,3
618,193,4
714,291,3
143,286,2
757,56,4
187,173,5
916,831,1
561,660,3
1,240,3
838,7,5
532,427,5
924,836,3
881,218,4
846,241,4
943,186,5
940,355,1
815,134,4
149,340,4
10,617,5
13,917,4
674,597,3
883,692,3
870,210,4
721,261,3
679,63,3
393,259,4
875,321,3
919,201,4
864,12,5
699,930,2
554,202,4
223,1052,1
682,175,3
847,218,3
921,132,3
854,225,1
655,735,3
774,429,1
726,535,3
89,86,5
771,189,5
640,693,5
617,448,3
234,939,2
303,1335,3
850,82,5
798,380,3
417,185,3
843,209,3
655,423,3
334,190,4
863,288,4
305,464,3
881,304,3
134,294,4
889,451,3
648,1271,4
788,187,4
452,501,3
823,747,4
198,939,3
515,300,5
729,362,4
750,303,4
627,735,4
555,505,4
826,332,3
646,678,3
495,182,5
22,405,1
661,249,3
508,514,5
864,102,4
896,739,2
294,986,3
657,294,5
246,257,4
796,566,4
707,1479,5
292,181,4
655,1068,3
870,792,3
880,595,1
786,127,4
435,427,3
638,450,1
923,1028,4
293,168,4
299,1068,3
916,944,2
908,147,2
152,763,5
43,100,4
892,187,5
659,197,5
847,104,3
450,235,3
42,595,1
151,1047,2
305,13,3
892,178,5
23,679,3
862,480,5
847,756,1
643,435,5
648,153,4
586,172,4
476,94,2
234,724,4
168,931,3
601,96,2
916,1268,3
916,381,3
727,291,4
841,344,3
862,1199,2
537,641,4
650,239,3
881,333,5
564,117,4
883,174,4
606,596,4
710,418,3
62,451,3
523,523,3
454,472,3
719,423,3
863,749,2
782,1391,4
918,658,3
551,415,4
429,786,2
889,879,3
194,168,5
711,559,3
790,89,4
943,215,5
774,210,1
618,288,3
919,508,5
804,134,4
599,476,4
655,2,3
851,157,4
836,238,4
273,313,3
846,518,4
804,480,5
730,301,1
407,153,4
655,511,3
647,71,4
629,69,5
514,81,4
855,45,3
707,490,2
588,98,1
530,174,4
183,649,4
755,887,3
379,577,4
899,228,3
620,834,2
28,96,5
934,461,4
476,245,4
102,550,2
559,660,1
833,108,2
694,606,4
670,135,3
435,609,4
389,709,4
224,555,3
887,183,1
899,135,4
894,937,4
764,946,4
875,527,4
891,15,4
648,810,4
458,1,4
943,443,2
881,100,4
919,286,4
788,291,4
536,487,4
712,367,4
397,480,5
59,929,2
624,100,5
474,471,3
662,10,4
918,28,4
833,1017,4
84,79,4
932,671,3
913,42,3
919,289,3
737,196,3
655,315,4
267,158,4
807,235,1
715,658,4
760,288,4
887,8,4
892,385,3
936,298,4
727,161,4
934,228,4
885,97,5
919,819,3
698,606,2
651,285,4
639,162,3
547,319,4
622,202,4
632,95,5
840,489,3
276,1483,3
559,87,4
313,742,3
690,722,3
894,877,3
592,895,3
110,63,3
660,1050,4
287,941,3
685,324,3
897,926,4
757,1240,3
693,977,3
835,180,5
648,208,5
788,380,3
693,664,2
506,566,4
501,122,4
488,294,4
833,206,4
260,270,5
495,96,4
844,1039,4
886,230,2
918,487,4
291,717,3
537,343,2
639,786,3
798,1297,3
716,257,5
224,591,3
653,213,2
257,14,5
864,419,4
758,8,5
890,204,4
463,749,3
806,50,5
189,1056,3
868,475,4
932,483,5
486,306,1
886,474,4
374,1197,4
932,157,4
682,769,2
758,212,4
385,421,2
887,934,4
713,302,4
664,137,3
805,1091,2
836,258,4
896,168,4
406,216,3
663,108,2
625,678,3
496,277,5
790,222,3
622,207,5
102,449,4
425,5,1
847,735,4
399,890,2
776,441,2
819,321,4
821,1060,5
942,511,4
758,200,5
758,1039,5
334,193,4
452,82,3
935,257,2
416,164,5
776,437,1
707,696,4
561,72,2
270,185,5
884,300,1
537,1025,1
748,189,4
886,288,4
421,208,2
524,235,1
452,23,2
162,826,3
99,326,3
909,300,5
659,319,3
843,204,3
405,1334,1
460,1137,3
543,1174,3
927,456,2
327,178,4
49,367,3
361,443,3
194,265,4
907,813,5
846,196,4
488,742,4
910,332,2
707,747,3
125,663,3
901,476,5
648,180,1
714,151,3
897,485,3
550,181,5
683,300,3
227,100,5
757,233,3
62,172,5
922,212,2
314,1094,1
831,12,5
774,986,1
700,531,4
514,185,3
179,353,1
919,742,4
181,593,1
554,597,4
655,156,2
881,230,4
934,315,4
689,118,4
804,468,4
655,211,3
750,328,4
908,200,2
727,1016,3
815,432,5
11,52,3
610,505,4
863,691,3
936,111,4
474,748,3
840,367,4
43,755,3
522,205,4
718,751,5
753,347,2
663,323,2
708,508,4
457,485,4
919,325,4
606,156,4
778,186,4
897,736,3
207,685,3
631,310,4
756,245,3
625,4,4
819,315,5
671,472,5
745,64,5
151,611,4
615,528,4
1,7,4
811,289,2
747,463,3
847,257,3
595,815,3
747,209,3
389,946,3
279,713,3
344,19,4
451,886,4
721,455,5
709,578,4
919,1086,4
896,572,2
758,25,4
738,193,5
592,340,5
798,961,1
771,216,5
783,750,4
881,524,4
391,322,3
429,530,4
625,100,3
279,462,3
227,1068,4
663,307,4
649,282,4
384,879,4
62,739,2
753,71,5
606,717,3
454,367,4
648,83,4
848,603,5
883,919,4
938,1033,2
921,82,3
586,1207,2
639,647,3
634,929,3
802,218,3
210,402,5
796,389,4
747,945,4
580,343,5
542,168,4
354,13,3
452,607,5
782,1142,3
929,474,4
933,734,2
551,673,4
731,15,4
886,229,3
710,95,3
486,16,3
907,118,4
498,531,3
94,423,4
118,188,5
751,588,5
537,185,4
603,450,3
465,357,4
146,269,4
846,202,5
682,223,1
710,1019,4
659,443,5
659,642,2
854,919,4
255,743,1
409,1159,2
97,172,4
650,38,3
833,195,5
752,358,4
786,121,2
650,21,2
886,241,4
747,189,4
666,478,4
527,154,3
637,125,3
656,326,1
854,288,5
416,118,2
863,900,3
880,123,4
23,1004,3
399,658,3
682,211,4
833,642,3
792,151,3
314,117,4
407,395,1
862,431,5
666,805,4
94,939,4
96,200,5
705,655,3
406,23,4
665,421,4
70,678,3
793,257,4
369,335,2
458,1109,4
303,873,3
405,418,5
116,145,2
751,142,4
393,892,3
454,312,3
42,1048,1
942,304,5
510,261,2
490,100,3
577,96,4
655,276,4
201,12,4
405,1540,2
499,166,5
806,17,4
653,429,3
799,484,3
707,1141,3
489,754,5
848,642,5
881,356,3
556,209,5
766,485,3
653,1267,1
848,179,5
456,98,3
863,1234,3
885,28,4
435,401,3
802,258,5
429,587,3
766,196,3
919,318,5
422,773,3
709,567,2
757,350,3
864,501,3
913,185,4
551,40,1
532,1162,2
574,896,2
940,147,4
643,127,5
932,209,5
802,424,2
748,650,1
741,121,2
619,750,3
823,98,5
40,1038,1
655,896,4
591,45,5
897,742,3
880,272,5
617,672,3
804,234,4
648,29,2
903,118,4
660,294,3
666,48,4
666,435,4
450,190,4
747,21,2
880,471,4
653,779,1
943,210,4
627,174,3
58,1008,1
322,33,4
593,131,4
799,173,5
506,1019,5
619,554,3
933,219,1
741,781,4
798,709,5
334,866,3
655,751,3
807,597,4
890,193,4
766,613,3
486,1137,5
488,754,4
655,796,2
688,341,5
447,257,3
880,697,2
886,451,3
658,477,3
454,751,4
934,239,4
405,735,5
796,623,3
388,98,5
661,197,4
374,276,4
914,736,3
798,204,4
214,188,5
911,7,4
10,230,4
405,203,1
760,120,1
588,366,5
480,197,3
29,180,4
545,177,3
925,678,3
201,692,3
778,150,3
246,941,1
94,208,4
939,476,5
780,485,4
301,282,4
936,236,5
917,1014,2
757,969,3
503,79,5
429,234,4
303,1097,3
825,248,4
828,702,2
415,204,4
742,1,4
832,322,3
663,150,5
705,227,4
621,68,4
391,651,5
671,50,5
532,495,4
901,568,5
875,12,5
851,866,3
705,843,2
649,50,4
920,300,3
235,1105,2
23,59,4
897,679,5
925,218,4
664,518,4
712,61,3
429,510,4
665,196,4
229,886,1
544,328,3
532,105,3
887,416,2
222,637,2
330,237,4
896,15,3
334,142,3
580,125,3
29,306,4
784,310,4
632,845,4
600,431,3
543,508,4
474,515,5
751,98,5
886,651,5
790,226,3
556,988,1
612,117,4
303,725,1
921,252,4
537,124,4
592,343,3
13,497,5
398,133,3
776,218,4
943,685,4
608,111,1
655,363,3
846,715,4
940,610,1
900,508,3
578,288,3
870,185,4
664,529,4
732,245,4
918,174,3
736,1089,1
896,70,4
385,656,5
706,325,1
598,269,3
653,227,3
493,25,4
650,561,3
865,189,4
907,497,5
854,846,3
561,549,2
630,742,5
893,122,2
933,214,3
303,92,4
704,648,5
889,137,4
774,1079,1
463,271,1
526,121,2
800,300,4
798,949,3
655,144,3
537,279,2
324,340,5
654,95,4
366,675,4
786,9,5
843,225,2
898,748,4
747,11,5
223,329,2
222,596,3
673,292,4
931,362,3
693,48,5
872,864,3
641,513,5
848,476,3
918,45,4
919,477,4
883,568,3
674,1620,4
654,11,4
466,899,5
360,879,3
889,597,3
487,841,2
29,657,4
486,926,2
823,135,4
276,540,1
907,756,4
773,12,3
676,303,4
65,1041,3
164,329,4
588,815,4
653,797,2
867,475,5
863,751,4
437,26,2
399,552,1
484,183,4
731,140,2
840,64,4
768,25,4
435,768,3
840,750,4
943,12,5
935,742,5
887,87,5
856,323,2
5,66,1
416,421,5
314,38,5
586,231,3
749,158,3
682,591,3
853,678,4
881,484,4
693,177,3
480,1121,4
880,1197,3
823,474,5
933,215,3
194,186,5
523,954,5
571,114,4
617,357,4
755,288,1
658,273,4
663,815,4
624,824,2
713,311,3
830,310,4
463,764,2
938,477,1
505,501,2
615,180,4
488,144,3
674,827,4
798,720,5
10,470,4
704,272,5
231,300,4
927,7,3
747,416,5
889,430,4
833,5,1
669,408,5
890,134,5
911,89,4
528,427,4
878,66,3
715,168,4
840,707,5
669,647,5
864,178,4
189,1020,4
721,1265,3
249,50,4
487,53,2
869,242,2
639,196,3
766,633,4
676,539,4
881,476,2
622,99,4
622,159,3
858,269,4
552,181,3
479,222,4
923,174,5
448,258,4
474,505,5
13,145,2
59,60,5
771,137,4
916,28,4
436,239,3
804,144,4
661,707,5
774,215,3
474,671,3
854,815,2
660,485,3
54,250,4
716,842,3
87,66,5
72,1148,4
416,898,4
919,418,4
560,472,2
669,246,4
897,22,5
702,222,5
903,1073,3
666,507,3
586,411,2
651,116,2
795,655,3
882,597,4
897,82,5
886,549,3
796,286,2
226,370,3
848,638,5
661,318,5
816,313,5
894,515,4
503,489,4
876,187,4
480,79,4
511,887,5
892,174,5
593,122,1
524,126,4
833,654,5
727,635,2
413,289,4
919,268,3
683,317,4
303,204,4
892,845,4
158,385,3
620,924,3
655,242,4
698,662,2
521,108,3
405,781,5
648,561,2
851,1089,3
534,7,4
748,64,4
923,181,5
343,217,3
896,95,4
417,411,2
514,1115,4
882,122,2
940,1401,1
919,5,4
660,3,1
311,222,4
774,231,1
174,407,1
719,582,3
919,1114,3
263,484,4
733,324,4
766,62,3
435,1069,4
485,269,4
477,794,4
210,1118,4
455,124,4
540,181,4
296,285,5
360,285,5
343,157,4
773,924,1
4,362,5
868,228,5
595,744,3
652,984,2
846,294,3
497,719,3
158,208,5
668,355,2
497,684,3
554,527,4
342,763,3
664,57,4
368,573,3
893,237,4
913,655,4
820,271,2
784,751,4
816,288,4
298,845,3
851,353,3
853,330,1
798,88,4
595,240,3
738,527,5
385,176,2
435,636,4
262,631,4
716,606,5
207,515,5
890,142,3
450,102,4
683,323,3
830,1,4
937,268,1
796,570,2
898,751,3
747,14,3
720,268,4
130,300,5
727,413,2
716,474,5
115,79,4
481,498,5
70,343,4
