movie_id,movie_title,imdb_url,decade,genres,avg_rating,poster
1,Toy Story (1995),http://us.imdb.com/M/title-exact?Toy%20Story%20(1995),90s, animation childrens comedy,3.878318584070796,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@..jpg
2,GoldenEye (1995),http://us.imdb.com/M/title-exact?GoldenEye%20(1995),90s, action adventure thriller,3.206106870229008,https://m.media-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@..jpg
3,Four Rooms (1995),http://us.imdb.com/M/title-exact?Four%20Rooms%20(1995),90s, thriller,3.033333333333333,https://m.media-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
4,Get Shorty (1995),http://us.imdb.com/M/title-exact?Get%20Shorty%20(1995),90s, action comedy drama,3.5502392344497613,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@..jpg
5,Copycat (1995),http://us.imdb.com/M/title-exact?Copycat%20(1995),90s, crime drama thriller,3.302325581395349,https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@..jpg
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://us.imdb.com/Title?Yao+a+yao+yao+dao+waipo+qiao+(1995),90s, drama,3.5769230769230766,https://i.imgur.com/9uJtEW6.jpg
7,Twelve Monkeys (1995),http://us.imdb.com/M/title-exact?Twelve%20Monkeys%20(1995),90s, drama sci-fi,3.798469387755102,https://i.imgur.com/9uJtEW6.jpg
8,Babe (1995),http://us.imdb.com/M/title-exact?Babe%20(1995),90s, childrens comedy drama,3.9954337899543377,https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@..jpg
9,Dead Man Walking (1995),http://us.imdb.com/M/title-exact?Dead%20Man%20Walking%20(1995),90s, drama,3.8963210702341136,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@..jpg
10,Richard III (1995),http://us.imdb.com/M/title-exact?Richard%20III%20(1995),90s, drama war,3.831460674157303,https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@..jpg
11,Seven (Se7en) (1995),http://us.imdb.com/M/title-exact?Se7en%20(1995),90s, crime thriller,3.8474576271186436,https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg
12,"Usual Suspects, The (1995)","http://us.imdb.com/M/title-exact?Usual%20Suspects,%20The%20(1995)",90s, crime thriller,4.3857677902621734,https://i.imgur.com/9uJtEW6.jpg
13,Mighty Aphrodite (1995),http://us.imdb.com/M/title-exact?Mighty%20Aphrodite%20(1995),90s, comedy,3.4184782608695654,https://m.media-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@..jpg
14,"Postino, Il (1994)","http://us.imdb.com/M/title-exact?Postino,%20Il%20(1994)",90s, drama romance,3.9672131147540974,https://m.media-amazon.com/images/M/MV5BZmVhNWIzOTMtYmVlZC00ZDVmLWIyODEtODEzOTAxYjAwMzVlXkEyXkFqcGdeQXVyMzIwNDY4NDI@..jpg
15,Mr. Holland's Opus (1995),http://us.imdb.com/M/title-exact?Mr.%20Holland's%20Opus%20(1995),90s, drama,3.778156996587031,https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@..jpg
16,French Twist (Gazon maudit) (1995),http://us.imdb.com/M/title-exact?Gazon%20maudit%20(1995),90s, comedy romance,3.2051282051282053,https://m.media-amazon.com/images/M/MV5BMWEwNWY1ZjQtYWMxYS00ZDY2LTg2Y2YtZDc5MTM4MzE0NTM4XkEyXkFqcGdeQXVyNDE5MTU2MDE@..jpg
17,From Dusk Till Dawn (1996),http://us.imdb.com/M/title-exact?From%20Dusk%20Till%20Dawn%20(1996),90s, action comedy crime horror thriller,3.1195652173913038,https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg
18,"White Balloon, The (1995)",http://us.imdb.com/M/title-exact?Badkonake%20Sefid%20(1995),90s, drama,2.8,https://m.media-amazon.com/images/M/MV5BN2QzOTY0MjAtMDQ4MC00MTQ3LWIxM2UtZjc5MzkxYjRhZjdjXkEyXkFqcGdeQXVyNjkxOTM4ODY@..jpg
19,Antonia's Line (1995),http://us.imdb.com/M/title-exact?Antonia%20(1995),90s, drama,3.9565217391304346,https://m.media-amazon.com/images/M/MV5BNDVmNjdhMzEtNDMzMy00NzI0LWI1ZmUtNjJiNGEzMDExZDY5XkEyXkFqcGdeQXVyMjM5NDQzNTk@..jpg
20,Angels and Insects (1995),http://us.imdb.com/M/title-exact?Angels%20and%20Insects%20(1995),90s, drama romance,3.4166666666666665,https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@..jpg
21,Muppet Treasure Island (1996),http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),90s, action adventure comedy musical thriller,2.761904761904762,https://m.media-amazon.com/images/M/MV5BMTlmNzhiMWEtOWVjZC00NmM0LTgxNDItMDJmYTkxYTZkY2FjXkEyXkFqcGdeQXVyNTUyMzE4Mzg@..jpg
22,Braveheart (1995),http://us.imdb.com/M/title-exact?Braveheart%20(1995),90s, action drama war,4.151515151515151,https://m.media-amazon.com/images/M/MV5BMzkzMmU0YTYtOWM3My00YzBmLWI0YzctOGYyNTkwMWE5MTJkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg
23,Taxi Driver (1976),http://us.imdb.com/M/title-exact?Taxi%20Driver%20(1976),90s, drama thriller,4.12087912087912,https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@..jpg
24,Rumble in the Bronx (1995),http://us.imdb.com/M/title-exact?Hong%20Faan%20Kui%20(1995),90s, action adventure crime,3.4482758620689653,https://m.media-amazon.com/images/M/MV5BZTUxMzY1N2YtZjM5NC00MmUzLThkNzEtYjNiYzg0MzI4MDc5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg
25,"Birdcage, The (1996)","http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)",90s, comedy,3.4436860068259385,https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@..jpg
26,"Brothers McMullen, The (1995)","http://us.imdb.com/M/title-exact?Brothers%20McMullen,%20The%20(1995)",90s, comedy,3.4520547945205484,https://i.imgur.com/9uJtEW6.jpg
27,Bad Boys (1995),http://us.imdb.com/M/title-exact?Bad%20Boys%20(1995),90s, action,3.1052631578947367,https://m.media-amazon.com/images/M/MV5BMGE1ZTQ0ZTEtZTEwZS00NWE0LTlmMDUtMTE1ZWJiZTYzZTQ2XkEyXkFqcGdeQXVyNTAyODkwOQ@@..jpg
